L-arabinose	14.0	11.0	11.0	7.0	10.0	11.0	12.0	9.0	11.0	9.0	11.0	0	11.0	11.0	13.0	12.0	12.0	10.0	11.0	9.0	8.0	8.0	8.0	11.0	12.0	9.0	12.0	11.0	9.0	12.0	12.0	10.0	12.0	13.0	11.0	12.0	9.0	11.0	11.0	12.0	10.0	9.0	10.0	11.0	10.0	8.0	11.0	9.0	12.0	13.0	12.0	9.0	8.0	11.0	7.0	11.0	11.0	9.0	7.0	9.0	9
N,N-dimethylglycine	6.0	7.0	6.0	8.0	5.0	6.0	5.0	5.0	6.0	8.0	6.0	11.0	0	5.0	6.0	5.0	6.0	6.0	4.0	4.0	6.0	4.0	9.0	4.0	5.0	6.0	6.0	5.0	5.0	7.0	7.0	4.0	6.0	5.0	4.0	7.0	4.0	5.0	6.0	5.0	6.0	7.0	5.0	6.0	4.0	4.0	6.0	5.0	5.0	6.0	5.0	2.0	6.0	6.0	4.0	5.0	6.0	3.0	5.0	3.0	5
L-glutamine	9.0	5.0	5.0	7.0	4.0	5.0	5.0	5.0	5.0	9.0	5.0	11.0	5.0	0	6.0	5.0	2.0	7.0	5.0	4.0	7.0	4.0	9.0	5.0	5.0	6.0	4.0	3.0	5.0	5.0	5.0	6.0	4.0	7.0	3.0	5.0	6.0	6.0	5.0	5.0	4.0	8.0	5.0	5.0	1.0	6.0	5.0	4.0	4.0	6.0	5.0	3.0	7.0	5.0	5.0	6.0	5.0	4.0	5.0	4.0	6
L-isoleucine	10.0	6.0	5.0	8.0	5.0	5.0	5.0	6.0	5.0	9.0	5.0	13.0	6.0	6.0	0	5.0	7.0	8.0	6.0	5.0	8.0	5.0	10.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0	7.0	6.0	8.0	6.0	5.0	6.0	7.0	5.0	7.0	5.0	9.0	5.0	5.0	6.0	7.0	5.0	6.0	7.0	6.0	1.0	4.0	8.0	5.0	6.0	7.0	5.0	5.0	6.0	5.0	7
3-methyl-2-oxobutanoate	9.0	5.0	4.0	7.0	4.0	4.0	4.0	5.0	4.0	8.0	4.0	12.0	5.0	5.0	5.0	0	6.0	7.0	5.0	4.0	7.0	4.0	9.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	6.0	5.0	7.0	5.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	5.0	6.0	4.0	5.0	6.0	1.0	4.0	3.0	7.0	4.0	5.0	6.0	4.0	4.0	5.0	4.0	6
citr_L[e]	9.0	5.0	5.0	7.0	4.0	5.0	6.0	4.0	6.0	8.0	5.0	12.0	6.0	2.0	7.0	6.0	0	7.0	6.0	3.0	7.0	4.0	9.0	6.0	6.0	7.0	6.0	5.0	5.0	6.0	6.0	7.0	6.0	6.0	4.0	6.0	5.0	7.0	5.0	3.0	4.0	8.0	6.0	6.0	3.0	6.0	6.0	3.0	5.0	7.0	6.0	4.0	7.0	6.0	6.0	7.0	6.0	6.0	5.0	5.0	5
3,3,5-triiodo-L-thyronine	5.0	7.0	6.0	8.0	5.0	6.0	6.0	6.0	6.0	7.0	6.0	10.0	6.0	7.0	8.0	7.0	7.0	0	5.0	5.0	6.0	3.0	9.0	3.0	7.0	8.0	6.0	5.0	4.0	7.0	7.0	6.0	6.0	8.0	6.0	7.0	7.0	6.0	6.0	7.0	6.0	7.0	7.0	6.0	6.0	7.0	6.0	4.0	7.0	8.0	7.0	4.0	8.0	6.0	5.0	2.0	6.0	6.0	4.0	4.0	7
L-leucine	6.0	6.0	5.0	8.0	5.0	5.0	1.0	6.0	5.0	9.0	5.0	11.0	4.0	5.0	6.0	5.0	6.0	5.0	0	5.0	8.0	4.0	9.0	2.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	4.0	5.0	6.0	5.0	5.0	5.0	5.0	9.0	5.0	5.0	4.0	7.0	5.0	5.0	7.0	6.0	5.0	2.0	7.0	5.0	4.0	3.0	5.0	5.0	5.0	3.0	7
acetate	7.0	4.0	3.0	4.0	1.0	3.0	4.0	1.0	3.0	6.0	3.0	9.0	4.0	4.0	5.0	4.0	3.0	5.0	5.0	0	4.0	2.0	7.0	5.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	4.0	5.0	6.0	5.0	4.0	3.0	4.0	3.0	4.0	3.0	5.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	5.0	4.0	3.0	4.0	3.0	4.0	5.0	3.0	3.0	3.0	2.0	2
androsterone	10.0	8.0	7.0	7.0	5.0	7.0	7.0	5.0	7.0	5.0	7.0	8.0	6.0	7.0	8.0	7.0	7.0	6.0	8.0	4.0	0	6.0	8.0	8.0	7.0	8.0	8.0	7.0	7.0	7.0	7.0	5.0	8.0	9.0	8.0	7.0	6.0	5.0	7.0	8.0	7.0	1.0	7.0	7.0	6.0	7.0	7.0	7.0	8.0	8.0	7.0	6.0	6.0	7.0	8.0	7.0	7.0	3.0	7.0	5.0	6
