(R)-Pantothenate	152.0	180.0	276.0	150.0	136.0	246.0	116.0	182.0	168.0	294.0	150.0	424.0	125.0	557.0	0	125.0	472.0	166.0	541.0	218.0	214.0	198.0	228.0	147.0	196.0	132.0	151.0	1109.0	212.0	112.0	404.0	116.0	166.0	237.0	388.0	271.0	198.0	388.0	166.0	252.0	212.0	184.0	246.0	240.0	128.0
2-deoxy-D-ribose	77.0	105.0	201.0	75.0	61.0	171.0	41.0	107.0	93.0	219.0	75.0	349.0	50.0	482.0	125.0	0	397.0	91.0	466.0	143.0	139.0	123.0	153.0	72.0	121.0	57.0	76.0	1034.0	137.0	37.0	329.0	41.0	91.0	162.0	313.0	196.0	123.0	313.0	91.0	177.0	137.0	109.0	171.0	165.0	53.0
(S)-malate(2-)	424.0	354.0	514.0	420.0	408.0	482.0	388.0	454.0	440.0	564.0	386.0	696.0	397.0	829.0	472.0	397.0	0	404.0	813.0	490.0	484.0	436.0	482.0	383.0	467.0	404.0	387.0	1347.0	450.0	384.0	642.0	388.0	436.0	509.0	660.0	507.0	436.0	628.0	436.0	524.0	450.0	422.0	518.0	476.0	400.0
glycocholate	102.0	130.0	146.0	90.0	102.0	178.0	70.0	148.0	100.0	234.0	82.0	342.0	91.0	523.0	166.0	91.0	404.0	0	507.0	184.0	154.0	68.0	178.0	79.0	114.0	98.0	83.0	979.0	154.0	78.0	346.0	70.0	106.0	171.0	306.0	203.0	68.0	340.0	106.0	206.0	154.0	54.0	178.0	172.0	62.0
Citrate	493.0	473.0	617.0	491.0	477.0	569.0	457.0	523.0	509.0	635.0	491.0	765.0	466.0	16.0	541.0	466.0	813.0	507.0	0	559.0	555.0	539.0	569.0	488.0	522.0	473.0	492.0	1450.0	505.0	453.0	697.0	457.0	507.0	578.0	729.0	612.0	539.0	683.0	507.0	593.0	505.0	525.0	587.0	581.0	469.0
propionyl-carnitine	116.0	198.0	294.0	100.0	154.0	264.0	134.0	200.0	186.0	244.0	168.0	442.0	143.0	575.0	218.0	143.0	490.0	184.0	559.0	0	164.0	216.0	246.0	165.0	214.0	150.0	169.0	1127.0	230.0	130.0	356.0	134.0	116.0	255.0	406.0	289.0	196.0	406.0	116.0	270.0	230.0	202.0	264.0	258.0	146.0
adipoyl carnitine	80.0	194.0	264.0	64.0	150.0	258.0	130.0	196.0	164.0	208.0	162.0	438.0	89.0	571.0	214.0	139.0	484.0	154.0	555.0	164.0	0	186.0	242.0	141.0	210.0	146.0	145.0	1097.0	226.0	126.0	320.0	130.0	80.0	251.0	402.0	283.0	160.0	402.0	80.0	266.0	226.0	172.0	242.0	252.0	142.0
3-methyl-2-oxopentanoate	134.0	162.0	178.0	122.0	134.0	210.0	102.0	180.0	132.0	266.0	114.0	374.0	123.0	555.0	198.0	123.0	436.0	68.0	539.0	216.0	186.0	0	210.0	111.0	146.0	130.0	115.0	1011.0	186.0	110.0	378.0	102.0	138.0	203.0	338.0	235.0	100.0	372.0	138.0	238.0	186.0	86.0	210.0	204.0	94.0
D-glycerate	180.0	208.0	288.0	178.0	164.0	256.0	144.0	210.0	196.0	322.0	160.0	452.0	153.0	585.0	228.0	153.0	482.0	178.0	569.0	246.0	242.0	210.0	0	157.0	224.0	160.0	161.0	1121.0	240.0	140.0	432.0	144.0	194.0	265.0	416.0	281.0	210.0	416.0	194.0	280.0	240.0	196.0	274.0	250.0	156.0
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	81.0	119.0	189.0	77.0	83.0	157.0	63.0	129.0	115.0	221.0	61.0	371.0	72.0	504.0	147.0	72.0	383.0	79.0	488.0	165.0	141.0	111.0	157.0	0	143.0	79.0	4.0	1022.0	151.0	59.0	333.0	63.0	93.0	184.0	335.0	182.0	111.0	329.0	93.0	199.0	151.0	97.0	193.0	151.0	75.0
