lightest Path square
phosphatidylserine	5	7	3	3	5	5	6	7	7	4	5	2	5	6	5	5	6	3	5	7	4	3	5	5	7	6	6	0	4	7	4	6	4	4	3	6	3	7	4	5	4	2	5	5	6
N-Acetylmethionine	6	3	5	8	5	3	8	6	9	9	7	5	5	3	5	5	6	5	2	7	7	5	6	7	4	6	8	4	0	7	2	8	9	9	6	8	5	3	9	7	2	4	7	7	11
L-threonate	5	8	8	7	4	7	7	6	9	8	7	4	4	5	4	4	8	8	4	6	6	8	5	7	15	5	8	7	7	0	7	7	8	8	5	8	8	5	8	6	7	7	7	7	10
O-acetylcarnitine	2	3	5	1	5	3	8	6	9	2	7	5	5	3	5	5	6	5	2	2	2	5	6	6	4	6	7	4	2	7	0	8	2	9	6	8	7	3	2	7	2	4	7	7	11
N-benzoylglycinate	6	9	7	8	5	8	4	7	10	9	8	5	5	6	5	5	9	7	5	7	7	7	6	8	12	6	9	6	8	7	8	0	9	5	6	9	7	6	9	3	8	6	8	8	7
isovalvaleryl carnitine	2	10	5	1	6	8	9	8	9	2	8	6	6	7	6	6	9	5	6	2	2	5	7	6	11	7	7	4	9	8	2	9	0	10	7	9	5	7	2	8	9	4	7	8	12
L-tyrosine	7	10	5	9	6	9	5	8	11	10	9	6	6	7	6	6	10	5	6	8	8	5	7	9	9	7	10	4	9	8	9	5	10	0	7	10	5	7	10	4	9	4	9	9	4
Xanthine	4	7	4	6	3	6	6	5	8	7	6	3	3	4	3	3	7	4	3	5	5	4	4	6	8	4	7	3	6	5	6	6	7	7	0	7	4	4	7	5	6	3	6	6	9
N-acetylneuraminate	7	9	7	8	6	2	9	8	11	9	5	6	6	7	6	6	6	7	6	8	9	7	5	5	17	7	6	6	8	8	8	9	9	10	7	0	7	9	9	8	8	6	9	5	12
L-phenylalanine	7	6	4	6	6	6	7	8	8	7	6	3	6	7	6	6	7	4	6	7	7	4	6	6	8	7	7	3	5	8	7	7	5	5	4	7	0	6	7	4	5	3	6	6	7
choline	4	4	8	6	3	4	6	7	10	7	8	3	3	4	3	3	7	8	3	5	5	8	4	8	5	4	9	7	3	5	3	6	7	7	4	9	6	0	7	5	3	7	8	8	9
tiglyl carnitine	2	10	5	1	6	8	9	8	9	2	8	6	6	7	6	6	9	5	6	2	2	5	7	6	11	7	7	4	9	8	2	9	2	10	7	9	7	7	0	8	9	4	7	8	12
creatine	5	8	6	7	4	7	3	6	9	8	7	4	4	5	4	4	8	6	4	6	6	6	5	7	11	5	8	5	7	6	7	3	8	4	5	8	4	5	8	0	7	5	7	2	6
N-acetyl-L-alanine	6	3	5	8	5	3	8	6	9	9	7	5	5	3	5	5	6	5	2	7	7	5	6	7	4	6	8	4	2	7	2	8	9	9	6	8	5	3	9	7	0	4	7	7	11
D-ribitol	5	7	3	3	5	5	6	3	7	4	5	2	5	6	5	5	6	3	5	7	4	3	5	5	7	6	6	2	4	7	4	6	4	4	3	6	3	7	4	5	4	0	5	5	6
L-tryptophan	7	8	6	6	5	8	8	7	6	7	8	5	5	6	5	5	9	6	5	7	7	6	6	8	8	6	9	5	7	7	7	8	7	9	6	9	6	8	7	7	7	5	0	8	6
creatinine	6	8	6	7	5	4	8	7	10	8	4	5	5	6	5	5	5	6	5	7	8	6	4	4	16	6	5	5	7	7	7	8	8	9	6	5	6	8	8	2	7	5	8	0	11
dopamine 3-O-sulfate	9	12	7	11	8	11	7	10	13	12	11	8	8	9	8	8	12	7	8	10	10	7	9	11	7	9	12	6	11	10	11	7	12	4	9	12	7	9	12	6	11	6	6	11	0
